2023-9-12 14:33:45-log: Cannot access game frame or container.
2023-9-12 14:33:45-debug: asset-db:require-engine-code (1821ms)
2023-9-12 14:33:46-log: Cocos Creator v3.8.0
2023-9-12 14:33:46-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:18.63MB, end 87.83MB, increase: 69.20MB
2023-9-12 14:33:46-debug: [Assets Memory track]: asset-db-plugin-register: programming start:88.53MB, end 93.80MB, increase: 5.27MB
2023-9-12 14:33:46-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:87.84MB, end 91.08MB, increase: 3.24MB
2023-9-12 14:33:46-debug: asset-db:worker-init: initPlugin (384ms)
2023-9-12 14:33:46-debug: [Assets Memory track]: asset-db:worker-init start:18.63MB, end 91.13MB, increase: 72.50MB
2023-9-12 14:33:46-debug: Run asset db hook programming:beforePreStart ...
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunksbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default-terrainbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_cubemapbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_file_contentbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:46-debug: Run asset db hook programming:beforePreStart success!
2023-9-12 14:33:46-debug: Run asset db hook engine-extends:beforePreStart success!
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_fontsbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:46-debug: Run asset db hook engine-extends:beforePreStart ...
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_materialsbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:47-debug: %cImport%c: /Applications/Cocos/Creator/3.8.0/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_skyboxbackground: #aaff85; color: #000;color: #000;
2023-9-12 14:33:47-debug: asset-db:worker-init (3550ms)
